Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Austria,Bundesliga,2026/2027,31/07/2026,18:30,LASK,Grazer AK,3,0,H,,,,1.55,4.4,6,1.5,4.16,5.41,1.56,4.6,6.4,1.49,4.33,5.75
Austria,Bundesliga,2026/2027,01/08/2026,16:00,Tirol,Sturm Graz,1,1,D,,,,4.5,3.8,1.9,4.06,3.58,1.78,4.8,3.8,1.86,4.5,3.6,1.71
Austria,Bundesliga,2026/2027,01/08/2026,18:30,Salzburg,Hartberg,1,0,H,,,,1.33,5.75,9,1.28,5.19,8.44,1.34,6,10.5,1.3,5,9
Austria,Bundesliga,2026/2027,02/08/2026,16:00,A. Lustenau,Ried,1,1,D,,,,3.25,3.35,2.33,3.06,3.16,2.23,3.45,3.4,2.36,3.2,3.25,2.2
Austria,Bundesliga,2026/2027,02/08/2026,16:00,Wolfsberger AC,Austria Vienna,3,0,H,,,,2.38,3.5,2.9,2.29,3.34,2.86,2.42,3.65,3.15,2.3,3.4,2.85
Austria,Bundesliga,2026/2027,02/08/2026,18:00,SK Rapid,Altach,1,0,H,,,,1.68,4,5.75,1.61,3.76,5.04,1.68,4.2,5.7,1.56,3.9,5.5
Austria,Bundesliga,2026/2027,07/08/2026,18:30,Altach,Tirol,3,1,H,,,,1.8,3.9,4.8,1.71,3.63,4.38,1.77,4,5.3,1.68,3.9,4.5
Austria,Bundesliga,2026/2027,08/08/2026,16:00,Grazer AK,A. Lustenau,2,1,H,,,,1.9,3.6,4.2,1.86,3.39,3.89,1.96,3.7,4.4,1.86,3.5,4
Austria,Bundesliga,2026/2027,08/08/2026,18:30,Hartberg,Sturm Graz,0,2,A,,,,4.6,3.9,1.73,4.41,3.74,1.68,5.2,3.85,1.79,4.5,3.75,1.68
Austria,Bundesliga,2026/2027,09/08/2026,16:00,Ried,SK Rapid,1,2,A,,,,3.3,3.6,2.18,3.11,3.37,2.11,3.5,3.6,2.24,3.3,3.5,2.05
Austria,Bundesliga,2026/2027,09/08/2026,16:00,Wolfsberger AC,Salzburg,1,1,D,,,,3.4,3.9,2.05,3.15,3.62,2.01,3.5,3.9,2.14,3.4,3.75,1.96
Austria,Bundesliga,2026/2027,09/08/2026,18:00,Austria Vienna,LASK,0,2,A,,,,4.2,3.9,1.9,3.9,3.71,1.78,4.4,3.9,1.91,4.1,3.9,1.71
Austria,Bundesliga,2026/2027,14/08/2026,18:30,LASK,Ried,4,1,H,,,,1.44,5,7,1.4,4.66,6.34,1.46,5.2,8,1.39,4.75,6.5
