Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Denmark,Superliga,2026/2027,24/07/2026,18:00,Viborg,Odense,1,0,H,,,,1.75,4.2,4.2,1.7,3.93,3.93,1.81,4.4,4.4,1.66,4.2,4.2
Denmark,Superliga,2026/2027,25/07/2026,17:00,Aarhus,Brondby,1,1,D,,,,2.04,3.9,3.5,1.97,3.58,3.27,2.06,3.9,3.75,1.86,3.9,3.5
Denmark,Superliga,2026/2027,26/07/2026,13:00,Sonderjyske,Midtjylland,2,3,A,,,,5.33,4.4,1.55,5.16,4.23,1.5,6.4,4.7,1.55,5.25,4.33,1.49
Denmark,Superliga,2026/2027,26/07/2026,15:00,FC Copenhagen,Lyngby,3,2,H,,,,1.44,5,7,1.38,4.77,6.32,1.45,5.5,7.6,1.41,4.75,6.25
Denmark,Superliga,2026/2027,26/07/2026,17:00,Horsens,Nordsjaelland,1,1,D,,,,4.1,3.75,1.85,3.84,3.58,1.79,4.5,3.9,1.89,4.1,3.75,1.76
Denmark,Superliga,2026/2027,27/07/2026,18:00,Randers FC,Silkeborg,1,1,D,,,,1.7,4,4.7,1.65,3.87,4.35,1.74,4.3,4.9,1.62,3.9,4.5
Denmark,Superliga,2026/2027,01/08/2026,17:00,Lyngby,Aarhus,2,2,D,,,,2.75,3.6,2.45,2.66,3.42,2.34,2.86,3.65,2.6,2.65,3.5,2.45
Denmark,Superliga,2026/2027,02/08/2026,13:00,Midtjylland,Horsens,2,1,H,,,,1.33,5.5,9,1.28,5.13,8.34,1.33,6,11.5,1.27,5.25,9
Denmark,Superliga,2026/2027,02/08/2026,13:00,Nordsjaelland,Randers FC,1,0,H,,,,1.6,4.33,5.25,1.55,4.08,4.83,1.64,4.7,5.5,1.53,4.1,5.25
Denmark,Superliga,2026/2027,02/08/2026,15:00,Brondby,Viborg,1,0,H,,,,1.98,3.75,3.7,1.9,3.6,3.47,2.04,3.85,3.9,1.91,3.7,3.5
Denmark,Superliga,2026/2027,02/08/2026,17:00,Silkeborg,FC Copenhagen,1,3,A,,,,7,4.8,1.46,5.87,4.62,1.42,7.2,5.4,1.46,7,4.75,1.39
Denmark,Superliga,2026/2027,03/08/2026,18:00,Odense,Sonderjyske,1,0,H,,,,2.25,3.6,3.25,2.13,3.49,2.96,2.36,3.7,3.2,2.2,3.5,3
Denmark,Superliga,2026/2027,07/08/2026,18:00,Sonderjyske,Viborg,0,0,D,,,,4.33,4.1,2.2,3.84,3.92,1.75,4.3,4.4,1.82,4.1,4.1,1.68
Denmark,Superliga,2026/2027,09/08/2026,15:00,Randers FC,Lyngby,2,0,H,,,,2.4,3.6,2.88,2.28,3.45,2.76,2.44,3.8,3.05,2.4,3.4,2.7
Denmark,Superliga,2026/2027,09/08/2026,17:00,Horsens,Brondby,0,2,A,,,,5.8,4,1.62,5.18,3.86,1.56,6.2,4.3,1.62,5.5,4,1.53
Denmark,Superliga,2026/2027,10/08/2026,18:00,Silkeborg,Odense,1,0,H,,,,2.95,3.75,2.25,2.84,3.5,2.2,3.15,3.8,2.32,2.85,3.5,2.2
Denmark,Superliga,2026/2027,14/08/2026,18:00,Viborg,Aarhus,2,1,H,,,,2.05,3.75,3.35,2.02,3.61,3.19,2.16,3.85,3.55,2.05,3.7,3.2
Denmark,Superliga,2026/2027,16/08/2026,13:00,Nordsjaelland,Silkeborg,1,0,H,,,,1.4,5.33,7.5,1.35,5.13,6.62,1.41,5.8,8,1.33,5,7.5
Denmark,Superliga,2026/2027,16/08/2026,13:00,Odense,Horsens,1,2,A,,,,1.8,3.9,4.5,1.74,3.59,4.35,1.84,3.8,5,1.71,3.9,4.2
Denmark,Superliga,2026/2027,16/08/2026,15:00,Lyngby,Midtjylland,1,1,D,,,,3.9,3.8,1.85,3.7,3.68,1.82,4.2,4,1.91,3.9,3.7,1.81
Denmark,Superliga,2026/2027,16/08/2026,17:00,Randers FC,FC Copenhagen,0,4,A,,,,4.5,4.1,1.7,4.4,3.9,1.65,5,4.3,1.74,4.5,4.1,1.62
Denmark,Superliga,2026/2027,17/08/2026,18:00,Brondby,Sonderjyske,3,2,H,,,,1.41,5,7.75,1.37,4.62,6.89,1.45,5.2,8.4,1.37,5,7
Denmark,Superliga,2026/2027,23/08/2026,11:00,Sonderjyske,Nordsjaelland,0,3,A,,,,4.5,4,1.8,3.99,3.77,1.74,4.4,4.2,1.85,4.5,3.75,1.71
Denmark,Superliga,2026/2027,23/08/2026,13:00,Aarhus,Odense,2,2,D,,,,1.92,3.8,3.7,1.86,3.66,3.55,1.96,3.95,4,1.86,3.7,3.7
Denmark,Superliga,2026/2027,23/08/2026,13:00,Midtjylland,Randers FC,1,0,H,,,,1.43,4.8,7,1.39,4.57,6.55,1.45,5.2,8,1.39,4.5,7
Denmark,Superliga,2026/2027,23/08/2026,15:00,Horsens,Lyngby,2,1,H,,,,3.5,3.3,2.15,3.37,3.24,2.06,3.75,3.55,2.18,3.5,3.3,2.01
Denmark,Superliga,2026/2027,23/08/2026,17:00,Viborg,FC Copenhagen,4,0,H,,,,3.1,3.5,2.3,2.9,3.44,2.21,3.15,3.85,2.32,3.1,3.4,2.2
Denmark,Superliga,2026/2027,24/08/2026,18:00,Brondby,Silkeborg,3,1,H,,,,1.45,5,7,1.41,4.58,6.08,1.46,5.1,7.8,1.42,4.5,6.25
Denmark,Superliga,2026/2027,28/08/2026,18:00,Horsens,Viborg,2,3,A,,,,4.75,3.9,1.75,4.4,3.79,1.68,4.9,4.1,1.78,4.75,3.9,1.62
Denmark,Superliga,2026/2027,30/08/2026,13:00,Lyngby,Odense,1,1,D,,,,2.1,3.75,3.2,2.03,3.62,3.15,2.16,3.85,3.5,2.05,3.75,3.1
Denmark,Superliga,2026/2027,30/08/2026,13:00,Silkeborg,Midtjylland,1,1,D,,,,9,5.6,1.33,7.65,5.32,1.3,9,5.9,1.37,8,5.5,1.3
Denmark,Superliga,2026/2027,30/08/2026,15:00,Randers FC,Aarhus,2,1,H,,,,3.1,3.5,2.3,2.85,3.43,2.25,3.05,3.7,2.4,3,3.4,2.2
Denmark,Superliga,2026/2027,30/08/2026,17:00,Nordsjaelland,Brondby,3,1,H,,,,2.08,4,3.2,2,3.76,3.12,2.12,4.1,3.4,1.96,4,3.2
Denmark,Superliga,2026/2027,31/08/2026,18:00,FC Copenhagen,Sonderjyske,3,1,H,,,,1.27,6,12,1.23,5.66,10.06,1.28,6.6,13,1.22,5.75,11
Denmark,Superliga,2026/2027,02/09/2026,19:00,Aarhus,Midtjylland,0,2,A,,,,3,3.65,2.25,2.93,3.52,2.17,3.2,3.7,2.34,3,3.6,2.2
Denmark,Superliga,2026/2027,03/09/2026,19:00,FC Copenhagen,Nordsjaelland,2,0,H,,,,2.2,3.9,2.95,2.13,3.74,2.85,2.26,4,3.15,2.15,3.9,2.85
Denmark,Superliga,2026/2027,04/09/2026,18:00,Viborg,Lyngby,0,2,A,,,,1.88,4,3.9,1.81,3.76,3.74,1.93,4,4.1,1.76,4,3.9
Denmark,Superliga,2026/2027,05/09/2026,17:00,Aarhus,Silkeborg,2,2,D,,,,1.52,4.75,6.2,1.46,4.44,5.69,1.54,4.8,6.2,1.46,4.33,6
Denmark,Superliga,2026/2027,06/09/2026,13:00,Sonderjyske,Horsens,2,5,A,,,,2.3,3.45,3.1,2.22,3.33,2.95,2.4,3.55,3.2,2.2,3.4,2.85
Denmark,Superliga,2026/2027,06/09/2026,15:00,Odense,FC Copenhagen,0,5,A,,,,3.75,3.9,1.91,3.65,3.7,1.84,4.1,3.9,1.95,3.6,3.9,1.81
Denmark,Superliga,2026/2027,06/09/2026,17:00,Brondby,Randers FC,0,3,A,,,,1.63,4.3,5,1.58,4.12,4.74,1.67,4.5,5.5,1.53,4.2,5
Denmark,Superliga,2026/2027,07/09/2026,18:00,Midtjylland,Nordsjaelland,2,2,D,,,,2,3.9,3.5,1.92,3.77,3.32,2.04,4.2,3.55,1.91,3.8,3.4
Denmark,Superliga,2026/2027,11/09/2026,18:00,FC Copenhagen,Horsens,2,0,H,,,,1.31,5.5,9.5,1.28,5.13,8.62,1.32,6,11.5,1.3,5.25,8.5
Denmark,Superliga,2026/2027,13/09/2026,13:00,Lyngby,Sonderjyske,1,1,D,,,,1.62,4.3,5.25,1.59,4.07,4.7,1.69,4.5,5.2,1.56,4.2,4.75
Denmark,Superliga,2026/2027,13/09/2026,13:00,Silkeborg,Viborg,1,1,D,,,,3.95,3.95,1.85,3.74,3.82,1.79,4.1,4.2,1.89,3.75,3.9,1.79
