Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Finland,Veikkausliiga,2026,04/04/2026,11:00,Inter Turku,VPS,0,0,D,,,,1.42,4.8,7.5,1.38,4.39,7.01,1.46,4.8,8.6,1.4,4,7
Finland,Veikkausliiga,2026,04/04/2026,13:00,HJK,SJK,3,0,H,,,,1.57,4.35,5.5,1.51,4.25,5.11,1.59,4.7,6,1.53,4.33,4.75
Finland,Veikkausliiga,2026,04/04/2026,15:00,Ilves,KuPS,1,3,A,,,,2.65,3.4,2.8,2.54,3.3,2.52,2.8,3.6,2.68,2.6,3.3,2.4
Finland,Veikkausliiga,2026,04/04/2026,15:00,Jaro,Lahti,0,1,A,,,,3.1,3.5,2.35,2.89,3.41,2.2,3.3,3.6,2.34,3,3.3,2.2
Finland,Veikkausliiga,2026,04/04/2026,15:00,Mariehamn,TPS,1,1,D,,,,1.85,3.6,4.33,1.78,3.52,4.03,1.88,3.85,4.4,1.75,3.5,4.33
Finland,Veikkausliiga,2026,04/04/2026,17:00,Gnistan,AC Oulu,1,5,A,,,,2.8,3.6,2.36,2.68,3.5,2.29,2.92,3.7,2.5,2.6,3.5,2.3
Finland,Veikkausliiga,2026,10/04/2026,16:00,TPS,Lahti,2,1,H,,,,3.25,3.5,2.22,3.08,3.33,2.11,3.3,3.7,2.28,3.25,3.3,2.15
Finland,Veikkausliiga,2026,10/04/2026,17:00,SJK,Mariehamn,3,0,H,,,,1.67,3.9,5.4,1.6,3.76,4.93,1.68,4.2,5.7,1.6,3.5,5.25
Finland,Veikkausliiga,2026,10/04/2026,18:00,VPS,Jaro,0,0,D,,,,2,3.6,3.6,1.94,3.43,3.47,2.06,3.7,3.9,1.95,3.4,3.6
Finland,Veikkausliiga,2026,11/04/2026,12:00,KuPS,Gnistan,1,0,H,,,,1.42,5,7.5,1.37,4.7,6.58,1.44,5.4,7.6,1.42,4.2,6.5
Finland,Veikkausliiga,2026,11/04/2026,15:00,HJK,AC Oulu,0,1,A,,,,1.7,4.25,4.75,1.62,4.08,4.27,1.71,4.5,4.9,1.65,3.9,4.33
Finland,Veikkausliiga,2026,11/04/2026,17:00,Inter Turku,Ilves,2,1,H,,,,2.22,3.4,3.25,2.13,3.26,3.12,2.3,3.5,3.4,2.1,3.4,3.1
Finland,Veikkausliiga,2026,18/04/2026,12:00,Gnistan,HJK,0,3,A,,,,4.9,4.35,1.65,4.44,4.16,1.58,,,,4.5,4.1,1.57
Finland,Veikkausliiga,2026,18/04/2026,14:00,Jaro,KuPS,1,1,D,,,,5.5,4.25,1.58,5.06,3.99,1.54,,,,5.5,3.8,1.55
Finland,Veikkausliiga,2026,18/04/2026,15:00,AC Oulu,VPS,1,0,H,,,,1.7,4,5.25,1.62,3.66,4.8,,,,1.65,3.5,5
Finland,Veikkausliiga,2026,18/04/2026,15:00,Lahti,Inter Turku,0,2,A,,,,3.85,3.4,2.05,3.66,3.22,1.94,,,,3.4,3.3,1.95
Finland,Veikkausliiga,2026,18/04/2026,15:00,TPS,SJK,2,0,H,,,,3.7,3.75,1.95,3.47,3.59,1.88,,,,3.5,3.4,1.9
Finland,Veikkausliiga,2026,18/04/2026,17:00,Mariehamn,Ilves,2,2,D,,,,6.5,4.5,1.49,5.74,4.22,1.46,,,,6.5,3.9,1.45
Finland,Veikkausliiga,2026,22/04/2026,16:00,KuPS,AC Oulu,3,2,H,,,,1.86,3.7,4,1.82,3.57,3.75,,,,1.83,3.6,3.8
Finland,Veikkausliiga,2026,24/04/2026,16:00,TPS,Gnistan,1,1,D,,,,2.35,3.5,3.1,2.25,3.38,2.81,,,,2.35,3.25,3.1
Finland,Veikkausliiga,2026,24/04/2026,16:00,VPS,Ilves,3,2,H,,,,3.65,3.6,2.05,3.39,3.45,1.95,,,,3.5,3.3,2.05
Finland,Veikkausliiga,2026,24/04/2026,17:00,SJK,Jaro,1,1,D,,,,1.91,3.7,3.9,1.84,3.6,3.64,,,,1.9,3.6,3.6
Finland,Veikkausliiga,2026,25/04/2026,13:00,Lahti,AC Oulu,2,1,H,,,,3,3.4,2.38,2.84,3.23,2.29,,,,2.75,3.4,2.35
Finland,Veikkausliiga,2026,25/04/2026,15:00,Inter Turku,Mariehamn,1,0,H,,,,1.34,5.25,10,1.3,4.86,8.33,,,,1.3,4.5,9.5
Finland,Veikkausliiga,2026,26/04/2026,14:00,KuPS,HJK,1,1,D,,,,2.3,3.5,3,2.21,3.41,2.82,,,,2.2,3.4,2.88
Finland,Veikkausliiga,2026,29/04/2026,17:00,Inter Turku,HJK,1,1,D,,,,2.38,3.5,2.9,2.28,3.25,2.83,,,,2.3,3.5,2.9
Finland,Veikkausliiga,2026,02/05/2026,13:00,SJK,Ilves,1,1,D,,,,2.3,3.75,2.85,2.22,3.52,2.73,,,,2.25,3.75,2.8
Finland,Veikkausliiga,2026,02/05/2026,15:00,Jaro,TPS,2,2,D,,,,2.2,3.7,3.25,2.13,3.34,3.02,,,,2.15,3.7,3
Finland,Veikkausliiga,2026,02/05/2026,15:00,Mariehamn,VPS,0,1,A,,,,3.6,3.5,2.07,3.38,3.33,1.98,,,,3.6,3.4,2.05
Finland,Veikkausliiga,2026,02/05/2026,17:00,AC Oulu,KuPS,2,0,H,,,,3,3.4,2.35,2.85,3.31,2.23,,,,2.9,3.4,2.35
Finland,Veikkausliiga,2026,04/05/2026,17:00,HJK,Lahti,1,0,H,,,,1.6,4.2,5.75,1.53,3.96,5.22,,,,1.6,3.9,5.5
Finland,Veikkausliiga,2026,05/05/2026,17:00,Gnistan,Inter Turku,2,0,H,,,,4.6,4,1.67,4.4,3.81,1.63,5.3,4.2,1.71,4.33,3.7,1.67
Finland,Veikkausliiga,2026,08/05/2026,16:00,Ilves,AC Oulu,1,0,H,,,,3.1,3.55,2.2,2.91,3.44,2.14,3.2,3.8,2.32,3,3.3,2.15
Finland,Veikkausliiga,2026,08/05/2026,16:00,TPS,HJK,1,0,H,,,,4.75,4,1.7,4.37,3.83,1.65,4.8,4.2,1.76,4.2,4,1.7
Finland,Veikkausliiga,2026,08/05/2026,18:00,KuPS,SJK,0,0,D,,,,1.82,3.8,4.4,1.74,3.66,4.01,1.87,3.9,4.5,1.75,3.6,4
Finland,Veikkausliiga,2026,09/05/2026,13:00,Inter Turku,Jaro,2,0,H,,,,1.53,4.25,7,1.48,4.04,5.87,1.58,4.4,6.8,1.5,3.8,6
Finland,Veikkausliiga,2026,09/05/2026,15:00,VPS,Gnistan,1,1,D,,,,1.98,3.66,3.75,1.88,3.48,3.55,1.96,3.95,4.1,1.83,3.5,3.75
Finland,Veikkausliiga,2026,10/05/2026,13:00,Lahti,Mariehamn,1,1,D,,,,1.42,4.6,8,1.37,4.34,7.13,1.42,5,9.4,1.38,4.33,7.5
Finland,Veikkausliiga,2026,16/05/2026,12:00,HJK,Ilves,2,2,D,,,,1.67,4.2,5.33,1.61,3.91,4.44,1.71,4.3,5.1,1.62,3.9,4.2
Finland,Veikkausliiga,2026,16/05/2026,15:00,Mariehamn,KuPS,1,1,D,,,,7.5,4.5,1.46,6.57,4.19,1.41,8.2,4.9,1.46,6.25,4,1.45
Finland,Veikkausliiga,2026,16/05/2026,15:00,SJK,Inter Turku,1,3,A,,,,3.75,3.6,2.08,3.37,3.4,1.96,3.85,3.7,2.06,3.4,3.5,1.95
Finland,Veikkausliiga,2026,16/05/2026,17:00,AC Oulu,TPS,1,0,H,,,,1.62,4,5.66,1.57,3.84,4.96,1.68,4.2,5.7,1.6,4,4.75
Finland,Veikkausliiga,2026,16/05/2026,17:00,Gnistan,Jaro,5,0,H,,,,2.25,3.33,3.14,2.2,3.26,2.95,2.38,3.6,3.25,2.15,3.3,2.9
Finland,Veikkausliiga,2026,18/05/2026,16:00,Lahti,VPS,1,1,D,,,,2.4,3.25,3.2,2.3,3.09,2.91,2.52,3.3,3.25,2.38,3.2,2.75
Finland,Veikkausliiga,2026,20/05/2026,16:00,Ilves,Inter Turku,1,3,A,,,,3.25,3.4,2.2,3.09,3.3,2.12,3.3,3.6,2.32,3,3.3,2.2
Finland,Veikkausliiga,2026,20/05/2026,17:00,KuPS,Jaro,3,0,H,,,,1.5,4.5,6.75,1.45,4.28,5.83,1.52,4.9,7,1.5,4.33,5.25
Finland,Veikkausliiga,2026,22/05/2026,17:00,VPS,HJK,2,1,H,,,,3.5,3.8,2,3.39,3.48,1.93,3.8,3.85,2.06,3.3,3.8,1.91
Finland,Veikkausliiga,2026,23/05/2026,12:00,Inter Turku,TPS,2,1,H,,,,1.52,4.33,6,1.48,4.01,5.68,1.57,4.3,7,1.48,3.9,5.5
Finland,Veikkausliiga,2026,23/05/2026,15:00,Ilves,Gnistan,2,0,H,,,,2.1,3.6,3.45,2.01,3.48,3.14,2.2,3.65,3.5,2.1,3.4,2.9
Finland,Veikkausliiga,2026,23/05/2026,15:00,Jaro,Mariehamn,3,0,H,,,,1.88,3.5,4,1.83,3.41,3.85,1.92,3.85,4.4,1.85,3.5,3.75
Finland,Veikkausliiga,2026,23/05/2026,15:00,KuPS,Lahti,2,1,H,,,,1.53,4.2,6.2,1.5,3.93,5.63,1.54,4.4,7.2,1.5,4,5.75
Finland,Veikkausliiga,2026,23/05/2026,15:00,SJK,AC Oulu,0,1,A,,,,2.45,3.6,2.7,2.35,3.42,2.61,2.5,3.9,2.84,2.35,3.5,2.63
Finland,Veikkausliiga,2026,30/05/2026,13:00,HJK,Mariehamn,1,0,H,,,,1.2,7,14,1.17,6.4,11.5,1.22,8.2,15.5,1.17,6.5,12
Finland,Veikkausliiga,2026,30/05/2026,15:00,Gnistan,SJK,3,2,H,,,,2.65,3.5,2.5,2.55,3.44,2.4,2.8,3.75,2.64,2.5,3.5,2.45
Finland,Veikkausliiga,2026,30/05/2026,15:00,KuPS,Inter Turku,1,1,D,,,,2.45,3.4,2.8,2.37,3.23,2.72,2.54,3.4,3.05,2.35,3.4,2.75
Finland,Veikkausliiga,2026,30/05/2026,15:00,Lahti,Ilves,5,0,H,,,,2.43,3.4,3,2.32,3.2,2.8,2.48,3.45,3.1,2.25,3.4,2.88
Finland,Veikkausliiga,2026,30/05/2026,15:00,TPS,VPS,1,0,H,,,,3.4,3.33,2.15,3.17,3.25,2.1,3.6,3.55,2.22,3.2,3.2,2.15
Finland,Veikkausliiga,2026,31/05/2026,14:00,AC Oulu,Jaro,2,1,H,,,,1.68,3.8,5.25,1.62,3.7,4.75,1.73,4,5.5,1.6,3.7,5.25
Finland,Veikkausliiga,2026,13/06/2026,13:00,Ilves,TPS,1,0,H,,,,1.82,3.8,4.2,1.78,3.63,3.86,1.88,4,4.4,1.75,3.5,4.2
Finland,Veikkausliiga,2026,13/06/2026,13:00,Inter Turku,AC Oulu,0,0,D,,,,1.68,3.8,5,1.65,3.68,4.6,1.72,4.1,5.5,1.65,3.6,4.75
Finland,Veikkausliiga,2026,13/06/2026,15:00,Jaro,HJK,2,5,A,,,,5.1,4.33,1.57,4.93,4.12,1.53,6,4.7,1.59,5,4.33,1.55
Finland,Veikkausliiga,2026,13/06/2026,15:00,VPS,KuPS,1,1,D,,,,3.5,3.3,2.1,3.3,3.2,2.07,3.75,3.4,2.22,3.4,3.2,2.05
Finland,Veikkausliiga,2026,13/06/2026,17:00,Lahti,SJK,2,3,A,,,,2.22,3.6,3.1,2.16,3.41,2.93,2.32,3.7,3.2,2.2,3.6,2.9
Finland,Veikkausliiga,2026,13/06/2026,17:00,Mariehamn,Gnistan,0,3,A,,,,4.4,4,1.76,4.18,3.73,1.71,4.7,4.3,1.78,4.1,3.9,1.67
Finland,Veikkausliiga,2026,17/06/2026,16:00,HJK,Inter Turku,3,3,D,,,,2.5,3.4,2.7,2.41,3.29,2.61,2.58,3.65,2.9,2.45,3.3,2.6
Finland,Veikkausliiga,2026,17/06/2026,16:00,Ilves,Jaro,5,0,H,,,,1.65,4.2,4.8,1.6,3.9,4.56,1.7,4.3,5.2,1.6,4.1,4.5
Finland,Veikkausliiga,2026,17/06/2026,16:00,TPS,KuPS,1,2,A,,,,5.1,3.8,1.65,4.93,3.71,1.59,5.9,4.2,1.65,5,3.8,1.57
Finland,Veikkausliiga,2026,17/06/2026,19:00,Gnistan,Lahti,1,0,H,,,,2.45,3.4,2.75,2.38,3.31,2.63,2.6,3.65,2.88,2.45,3.4,2.6
Finland,Veikkausliiga,2026,17/06/2026,19:00,SJK,VPS,1,2,A,,,,2.4,3.4,2.88,2.27,3.35,2.74,2.48,3.65,3.05,2.25,3.3,2.75
Finland,Veikkausliiga,2026,18/06/2026,10:59,AC Oulu,Mariehamn,2,1,H,,,,1.39,5,7.6,1.35,4.55,7.16,1.41,5.3,9.2,1.36,4.75,7
Finland,Veikkausliiga,2026,23/06/2026,16:00,KuPS,Ilves,4,3,H,,,,1.64,4.2,5,1.6,3.88,4.57,1.67,4.4,5.5,1.6,3.9,4.75
Finland,Veikkausliiga,2026,23/06/2026,16:00,Lahti,TPS,0,0,D,,,,1.81,3.6,4.33,1.76,3.46,4.08,1.9,3.7,4.7,1.75,3.5,4.1
Finland,Veikkausliiga,2026,23/06/2026,16:00,VPS,AC Oulu,5,1,H,,,,2.02,3.4,3.75,1.94,3.29,3.54,2.06,3.7,4,1.9,3.4,3.7
