Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Mexico,Liga MX,2026/2027,17/07/2026,02:00,Necaxa,Atlante,2,1,H,,,,1.9,3.7,4,1.85,3.54,3.7,1.96,3.85,4,1.86,3.5,4
Mexico,Liga MX,2026/2027,17/07/2026,04:10,Club Tijuana,Tigres UANL,3,1,H,,,,3.65,3.4,2.1,3.37,3.32,2.01,3.75,3.65,2.12,3.6,3.3,2.05
Mexico,Liga MX,2026/2027,18/07/2026,02:00,Atl. San Luis,Cruz Azul,2,3,A,,,,5,3.9,1.71,4.61,3.77,1.63,5.7,4.1,1.69,4.75,3.9,1.68
Mexico,Liga MX,2026/2027,18/07/2026,02:00,Club Leon,Atlas,2,3,A,,,,2.2,3.45,3.4,2.09,3.31,3.14,2.26,3.6,3.45,2.15,3.3,3.25
Mexico,Liga MX,2026/2027,18/07/2026,04:00,Juarez,Puebla,0,1,A,,,,1.7,4.1,4.8,1.65,3.82,4.46,1.77,4.1,4.9,1.66,3.9,4.75
Mexico,Liga MX,2026/2027,19/07/2026,00:00,UNAM Pumas,Pachuca,0,3,A,,,,2.6,3.5,2.9,2.45,3.27,2.64,2.72,3.45,2.84,2.57,3.3,2.57
Mexico,Liga MX,2026/2027,19/07/2026,02:05,Monterrey,Santos Laguna,3,2,H,,,,1.5,4.75,6.5,1.44,4.47,5.69,1.51,5,6.6,1.45,4.5,5.75
Mexico,Liga MX,2026/2027,19/07/2026,02:07,Guadalajara Chivas,Toluca,0,2,A,,,,2.02,3.75,3.8,1.91,3.55,3.45,2.04,3.9,3.8,1.86,3.7,3.8
Mexico,Liga MX,2026/2027,19/07/2026,04:10,Queretaro,Club America,0,1,A,,,,3.9,3.7,2,3.55,3.53,1.89,4,3.85,1.99,3.9,3.7,1.86
Mexico,Liga MX,2026/2027,22/07/2026,02:00,Cruz Azul,Puebla,2,1,H,,,,1.36,5.5,8.5,1.31,4.99,7.74,1.36,6,9,1.3,5.5,7.5
