Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Norway,Eliteserien,2026,14/03/2026,15:00,HamKam,Viking,2,1,H,,,,5,3.9,1.75,4.58,3.73,1.67,5.2,4.1,1.74,4.75,3.8,1.7
Norway,Eliteserien,2026,14/03/2026,17:00,Molde,Rosenborg,2,0,H,,,,1.88,3.8,4,1.82,3.65,3.83,1.9,3.95,4.3,1.8,3.8,4
Norway,Eliteserien,2026,15/03/2026,13:30,Kristiansund,Brann,3,2,H,,,,5.8,4.2,1.6,5.36,4.1,1.53,6.2,4.5,1.6,5.75,4.2,1.55
Norway,Eliteserien,2026,15/03/2026,16:00,Aalesund,Lillestrom,1,3,A,,,,3.35,3.75,2.2,2.97,3.62,2.12,3.15,3.85,2.28,2.9,3.7,2.2
Norway,Eliteserien,2026,15/03/2026,16:00,KFUM Oslo,Start,2,0,H,,,,2,3.4,4.2,1.94,3.26,3.77,1.99,3.55,4.3,2,3.3,3.8
Norway,Eliteserien,2026,15/03/2026,16:00,Valerenga,Sandefjord,1,0,H,,,,1.94,4,3.6,1.88,3.79,3.46,1.97,4.1,3.9,1.9,4,3.6
Norway,Eliteserien,2026,15/03/2026,18:15,Tromso,Fredrikstad,4,0,H,,,,1.75,3.75,5.25,1.66,3.55,5.04,1.73,3.85,6,1.67,3.7,5.25
Norway,Eliteserien,2026,21/03/2026,15:00,Start,Aalesund,1,1,D,,,,2.33,3.5,3.1,2.23,3.33,2.98,2.38,3.6,3.2,2.25,3.4,3.1
Norway,Eliteserien,2026,21/03/2026,17:00,Viking,Molde,4,1,H,,,,1.68,4,5,1.65,3.79,4.69,1.73,4.2,5.2,1.67,3.75,5
Norway,Eliteserien,2026,22/03/2026,13:30,Rosenborg,Valerenga,0,2,A,,,,2.2,3.65,3.2,2.14,3.54,2.97,2.28,3.75,3.2,2.2,3.4,3.2
Norway,Eliteserien,2026,22/03/2026,16:00,Brann,Tromso,1,2,A,,,,1.93,3.6,4,1.88,3.44,3.79,2,3.65,4.2,1.9,3.5,4
Norway,Eliteserien,2026,22/03/2026,16:00,Fredrikstad,KFUM Oslo,3,1,H,,,,2.33,3.3,3.2,2.24,3.21,3.08,2.36,3.4,3.45,2.25,3.3,3.2
Norway,Eliteserien,2026,22/03/2026,16:00,Sandefjord,Sarpsborg 08,0,2,A,,,,2.05,4,3.1,2.02,3.83,3.02,2.2,4.1,3.2,2.05,4,3
Norway,Eliteserien,2026,06/04/2026,13:30,Valerenga,Viking,0,1,A,,,,2.95,3.9,2.2,2.83,3.68,2.15,3.1,4,2.28,2.88,3.9,2.2
Norway,Eliteserien,2026,06/04/2026,16:00,HamKam,Brann,1,5,A,,,,4.2,3.85,1.98,3.87,3.66,1.8,4.4,4.1,1.88,4.2,3.8,1.8
Norway,Eliteserien,2026,06/04/2026,16:00,Kristiansund,Bodo/Glimt,0,3,A,,,,11,7.25,1.24,9.78,6.59,1.2,14,8.4,1.23,11,7,1.22
Norway,Eliteserien,2026,06/04/2026,16:00,Molde,Lillestrom,0,1,A,,,,2.2,3.8,3.1,2.11,3.7,2.89,2.24,4.1,3.1,2.2,3.75,2.9
Norway,Eliteserien,2026,06/04/2026,16:00,Sarpsborg 08,Start,1,1,D,,,,1.8,4,4.35,1.74,3.78,3.97,1.86,4.1,4.3,1.8,4,4
Norway,Eliteserien,2026,06/04/2026,18:15,Tromso,Rosenborg,2,0,H,,,,1.62,4,6,1.55,3.83,5.41,1.66,4.1,6,1.6,3.9,5.5
Norway,Eliteserien,2026,07/04/2026,18:00,Aalesund,Fredrikstad,2,3,A,,,,2.43,3.75,2.85,2.35,3.49,2.69,2.5,3.8,2.9,2.3,3.75,2.75
Norway,Eliteserien,2026,07/04/2026,18:00,KFUM Oslo,Sandefjord,1,2,A,,,,2.25,3.5,3.25,2.16,3.42,3.04,2.32,3.6,3.3,2.2,3.5,3.1
Norway,Eliteserien,2026,11/04/2026,13:00,Lillestrom,Start,3,1,H,,,,1.5,5,6.75,1.41,4.68,5.99,1.47,5.3,7,1.42,4.75,6.25
Norway,Eliteserien,2026,11/04/2026,15:00,Tromso,Kristiansund,2,0,H,,,,1.36,6,13,1.25,5.4,9.69,1.28,6.4,13.5,1.25,6,10
Norway,Eliteserien,2026,11/04/2026,17:00,Viking,Bodo/Glimt,5,0,H,,,,3.2,4.2,2.1,2.95,3.96,2.01,3.1,4.3,2.18,3,4.1,2.1
Norway,Eliteserien,2026,12/04/2026,13:30,Rosenborg,Sarpsborg 08,2,1,H,,,,2.3,3.6,3.1,2.21,3.46,2.87,2.32,3.7,3.15,2.25,3.5,3
Norway,Eliteserien,2026,12/04/2026,16:00,Aalesund,KFUM Oslo,2,2,D,,,,2.7,3.5,2.7,2.51,3.35,2.55,2.72,3.65,2.76,2.5,3.5,2.7
Norway,Eliteserien,2026,12/04/2026,16:00,Fredrikstad,Valerenga,1,1,D,,,,2.71,3.6,2.63,2.56,3.47,2.43,2.76,3.8,2.62,2.7,3.5,2.45
Norway,Eliteserien,2026,12/04/2026,16:00,Molde,HamKam,4,1,H,,,,1.52,4.5,6.4,1.46,4.32,5.66,1.53,4.9,6.6,1.48,4.5,6
Norway,Eliteserien,2026,12/04/2026,18:15,Brann,Sandefjord,0,1,A,,,,1.55,4.33,5.66,1.52,4.17,5.21,1.58,4.8,5.9,1.53,4.33,5.25
Norway,Eliteserien,2026,15/04/2026,18:00,Sarpsborg 08,Bodo/Glimt,1,1,D,,,,6.25,5.33,1.46,5.65,4.95,1.42,6.6,5.5,1.49,6.25,4.75,1.45
Norway,Eliteserien,2026,15/04/2026,18:00,Tromso,Lillestrom,0,0,D,,,,1.85,3.75,4.2,1.8,3.67,3.9,1.94,3.9,4.2,1.83,3.7,4
Norway,Eliteserien,2026,18/04/2026,13:00,Bodo/Glimt,Aalesund,3,0,H,,,,1.13,9.75,19,1.11,8.6,15.03,,,,1.1,9.5,19
Norway,Eliteserien,2026,18/04/2026,15:00,Sandefjord,Rosenborg,0,0,D,,,,2.05,3.75,3.4,1.98,3.59,3.25,,,,2.05,3.75,3.2
Norway,Eliteserien,2026,18/04/2026,17:00,Viking,Brann,3,2,H,,,,1.73,4.33,4.2,1.69,4.01,4.01,,,,1.7,4.1,4.2
Norway,Eliteserien,2026,19/04/2026,13:30,Valerenga,Lillestrom,0,2,A,,,,2.5,3.75,2.7,2.4,3.56,2.56,,,,2.5,3.6,2.6
Norway,Eliteserien,2026,19/04/2026,16:00,HamKam,KFUM Oslo,4,0,H,,,,2.88,3.5,2.45,2.72,3.34,2.35,,,,2.88,3.4,2.38
