Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Poland,Ekstraklasa,2026/2027,24/07/2026,17:00,Radomiak Radom,Wieczysta Krakow,2,1,H,,,,2.48,3.6,3,2.28,3.39,2.73,2.44,3.7,3,2.3,3.25,3
Poland,Ekstraklasa,2026/2027,24/07/2026,19:30,Pogon Szczecin,Legia,0,1,A,,,,2.8,3.4,2.55,2.59,3.24,2.47,2.76,3.5,2.76,2.55,3.25,2.5
Poland,Ekstraklasa,2026/2027,25/07/2026,13:45,Jagiellonia,Korona Kielce,1,0,H,,,,2.08,3.4,3.9,1.97,3.3,3.48,2.12,3.5,3.9,1.95,3.3,3.5
Poland,Ekstraklasa,2026/2027,25/07/2026,16:30,Gornik Zabrze,Slask Wroclaw,2,1,H,,,,1.81,3.7,4.5,1.73,3.55,4.23,1.8,4,4.9,1.7,3.6,4.5
Poland,Ekstraklasa,2026/2027,25/07/2026,19:15,Lech Poznan,Cracovia,0,0,D,,,,1.58,4.3,6.1,1.52,4.05,5.21,1.63,4.4,6,1.57,3.9,5
Poland,Ekstraklasa,2026/2027,26/07/2026,13:45,Rakow,Wisla Plock,1,2,A,,,,1.67,3.75,5.4,1.62,3.61,4.93,1.75,3.95,5.4,1.65,3.7,4.75
Poland,Ekstraklasa,2026/2027,26/07/2026,16:30,Widzew Lodz,Motor Lublin,2,2,D,,,,1.77,3.75,4.8,1.71,3.58,4.38,1.85,3.75,4.8,1.75,3.7,4.1
Poland,Ekstraklasa,2026/2027,26/07/2026,19:15,Wisla,GKS Katowice,2,1,H,,,,2.05,3.65,3.5,1.96,3.44,3.36,2.06,3.8,3.9,2.05,3.4,3.2
Poland,Ekstraklasa,2026/2027,27/07/2026,18:00,Zaglebie,Piast Gliwice,2,0,H,,,,2.63,3.25,2.8,2.52,3.07,2.66,2.78,3.3,2.92,2.5,3.25,2.6
Poland,Ekstraklasa,2026/2027,31/07/2026,17:00,Wisla Plock,Widzew Lodz,0,0,D,,,,3.14,3.25,2.48,2.98,2.98,2.35,3.35,3.2,2.5,2.9,3.25,2.25
Poland,Ekstraklasa,2026/2027,31/07/2026,19:30,Motor Lublin,Jagiellonia,1,2,A,,,,2.8,3.65,2.38,2.66,3.49,2.31,2.92,3.7,2.54,2.8,3.4,2.25
