Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Russia,Premier League,2026/2027,24/07/2026,18:00,CSKA Moscow,Baltika,2,1,H,,,,2,3,3.5,2,3,3.5
Russia,Premier League,2026/2027,25/07/2026,12:00,Dynamo Moscow,Krylya Sovetov,0,0,D,,,,1.38,4.33,6,1.38,4.33,6
Russia,Premier League,2026/2027,25/07/2026,14:15,Akron Togliatti,Zenit,0,5,A,,,,6.66,4.33,1.35,6.66,4.33,1.35
Russia,Premier League,2026/2027,25/07/2026,16:30,Fakel Voronezh,Dynamo Makhachkala,1,2,A,,,,2.45,2.57,3.1,2.45,2.57,3.1
Russia,Premier League,2026/2027,25/07/2026,18:45,Spartak Moscow,Rodina Moscow,3,0,H,,,,1.26,4.75,8.5,1.26,4.75,8.5
Russia,Premier League,2026/2027,26/07/2026,15:00,Lokomotiv Moscow,Akhmat Grozny,1,1,D,,,,1.64,3.6,4.25,1.64,3.6,4.25
Russia,Premier League,2026/2027,26/07/2026,17:30,Orenburg,FK Rostov,2,1,H,,,,2.42,3,2.66,2.42,3,2.66
Russia,Premier League,2026/2027,26/07/2026,17:30,Rubin Kazan,Krasnodar,1,3,A,,,,3.6,2.83,2.05,3.6,2.83,2.05
Russia,Premier League,2026/2027,31/07/2026,18:00,Rodina Moscow,FK Rostov,2,4,A,,,,2.85,3,2.28,2.85,3,2.28
Russia,Premier League,2026/2027,01/08/2026,12:00,Akron Togliatti,Rubin Kazan,1,2,A,,,,2.9,3.1,2.2,2.9,3.1,2.2
Russia,Premier League,2026/2027,01/08/2026,14:15,CSKA Moscow,Krylya Sovetov,1,1,D,,,,1.38,4.33,6,1.38,4.33,6
Russia,Premier League,2026/2027,01/08/2026,16:30,Dynamo Makhachkala,Lokomotiv Moscow,2,1,H,,,,3.33,3.14,2,3.33,3.14,2
Russia,Premier League,2026/2027,01/08/2026,18:45,Baltika,Dynamo Moscow,2,1,H,,,,2.66,3.1,2.37,2.66,3.1,2.37
Russia,Premier League,2026/2027,02/08/2026,14:00,Orenburg,Zenit,0,3,A,,,,8,4.75,1.27,8,4.75,1.27
Russia,Premier League,2026/2027,02/08/2026,16:15,Krasnodar,Fakel Voronezh,3,2,H,,,,1.3,4.5,7.5,1.3,4.5,7.5
Russia,Premier League,2026/2027,02/08/2026,18:30,Akhmat Grozny,Spartak Moscow,1,2,A,,,,3.75,3.33,1.8,3.75,3.33,1.8
