Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Switzerland,Super League,2026/2027,25/07/2026,17:00,Lausanne,Grasshoppers,1,1,D,,,,1.68,4.33,4.8,1.62,3.97,4.47,1.71,4.5,5,1.57,4.33,4.75
Switzerland,Super League,2026/2027,25/07/2026,17:00,Servette,Basel,0,1,A,,,,1.92,4,4,1.84,3.76,3.48,1.92,4.1,4,1.76,3.9,4
Switzerland,Super League,2026/2027,25/07/2026,19:30,Luzern,Thun,1,3,A,,,,1.85,4.2,4.33,1.76,3.87,3.78,1.86,4.4,4.2,1.71,3.9,4.33
Switzerland,Super League,2026/2027,26/07/2026,13:00,Young Boys,Sion,4,2,H,,,,1.8,4.2,4,1.76,4.02,3.61,1.85,4.4,4.2,1.76,4.2,3.7
Switzerland,Super League,2026/2027,26/07/2026,15:30,Lugano,Vaduz,2,1,H,,,,1.62,4.33,5.75,1.55,4.06,4.91,1.64,4.4,5.8,1.57,4.33,4.5
Switzerland,Super League,2026/2027,26/07/2026,15:30,St. Gallen,Zurich,2,1,H,,,,1.57,4.75,5.5,1.49,4.43,5.09,1.55,5,6,1.46,4.5,5.5
Switzerland,Super League,2026/2027,01/08/2026,17:00,Basel,Lausanne,0,1,A,,,,1.93,3.9,3.75,1.84,3.75,3.54,1.93,3.95,4.2,1.81,3.8,3.75
Switzerland,Super League,2026/2027,01/08/2026,17:00,Zurich,Servette,2,1,H,,,,3.9,4,1.87,3.65,3.76,1.81,4.2,4.1,1.88,3.9,3.9,1.76
Switzerland,Super League,2026/2027,01/08/2026,19:30,Thun,Young Boys,0,6,A,,,,3.7,4.33,1.93,3.41,4.12,1.8,4,4.4,1.87,3.7,4.2,1.76
Switzerland,Super League,2026/2027,02/08/2026,13:00,Vaduz,St. Gallen,2,3,A,,,,3.5,4,1.98,3.31,3.83,1.9,3.7,4.2,1.99,3.4,3.9,1.91
Switzerland,Super League,2026/2027,02/08/2026,15:30,Grasshoppers,Lugano,1,4,A,,,,4.2,3.8,1.85,3.97,3.7,1.76,4.5,4,1.85,4.2,3.8,1.71
Switzerland,Super League,2026/2027,02/08/2026,15:30,Sion,Luzern,3,0,H,,,,1.8,4.25,4.2,1.72,4.05,3.8,1.78,4.4,4.4,1.66,4.2,4.2
Switzerland,Super League,2026/2027,08/08/2026,17:00,Lausanne,Young Boys,2,2,D,,,,4.2,4.75,1.7,4.04,4.31,1.65,4.5,4.7,1.74,4.1,4.75,1.62
Switzerland,Super League,2026/2027,08/08/2026,19:30,Servette,Grasshoppers,2,1,H,,,,1.5,4.5,6.33,1.46,4.26,5.85,1.56,4.6,6.6,1.49,4.1,6.25
