Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Argentina,Liga Profesional,2025,23/01/2025,22:00,Godoy Cruz,Rosario Central,0,3,A,2.98,2.88,2.82,2.98,2.97,2.92,2.88,2.81,2.81,3.05,2.9,3,,,
Argentina,Liga Profesional,2025,23/01/2025,22:00,Tigre,Velez Sarsfield,3,0,H,3.63,3.02,2.31,3.77,3.16,2.31,3.63,2.94,2.25,3.95,3.05,2.36,,,
Argentina,Liga Profesional,2025,24/01/2025,00:30,Defensa y Justicia,Banfield,0,1,A,1.85,3.39,4.82,1.92,3.39,5.1,1.86,3.28,4.63,1.94,3.4,5.1,,,
Argentina,Liga Profesional,2025,24/01/2025,00:30,Lanus,Dep. Riestra,0,2,A,1.75,3.52,5.36,1.8,3.58,6.1,1.72,3.45,5.21,1.79,3.6,5.9,,,
Argentina,Liga Profesional,2025,24/01/2025,00:30,Newells Old Boys,Ind. Rivadavia,0,1,A,2.33,2.9,3.77,2.36,3,3.82,2.28,2.85,3.67,2.42,2.96,3.9,,,
Argentina,Liga Profesional,2025,24/01/2025,20:00,Barracas Central,Racing Club,1,3,A,5.99,3.83,1.63,6.25,3.94,1.63,5.9,3.81,1.59,6.4,3.9,1.68,,,
Argentina,Liga Profesional,2025,24/01/2025,22:15,Independiente,Sarmiento Junin,2,1,H,1.5,3.92,8.29,1.58,3.95,8.71,1.53,3.71,7.28,1.58,3.85,8.8,,,
Argentina,Liga Profesional,2025,25/01/2025,00:00,Belgrano,Huracan,1,1,D,2.13,3.03,4.14,2.31,3.05,4.3,2.14,2.94,3.92,2.18,3.15,4.3,,,
Argentina,Liga Profesional,2025,25/01/2025,00:30,San Martin S.J.,Atl. Tucuman,0,1,A,2.73,2.86,3.1,2.74,3.06,3.1,2.67,2.88,2.98,2.8,3,3.15,,,
Argentina,Liga Profesional,2025,25/01/2025,20:00,San Lorenzo,Talleres Cordoba,1,0,H,3.66,2.75,2.49,3.69,2.87,2.6,3.47,2.75,2.46,3.7,2.9,2.54,,,
Argentina,Liga Profesional,2025,25/01/2025,22:15,Estudiantes L.P.,Union de Santa Fe,3,1,H,1.79,3.25,5.63,1.82,3.38,5.64,1.77,3.23,5.3,1.84,3.45,5.9,,,
Argentina,Liga Profesional,2025,25/01/2025,22:15,Instituto,Gimnasia L.P.,3,0,H,1.96,3.16,4.66,1.99,3.3,4.82,1.94,3.09,4.54,2.02,3.15,5.1,,,
Argentina,Liga Profesional,2025,26/01/2025,00:30,Platense,River Plate,1,1,D,6.63,3.33,1.69,6.67,3.45,1.76,5.83,3.28,1.71,6.6,3.45,1.77,,,
Argentina,Liga Profesional,2025,26/01/2025,22:00,Boca Juniors,Argentinos Jrs,0,0,D,2.17,3.04,4.01,2.28,3.07,4.61,2.16,2.93,3.9,2.28,3.05,4.1,,,
Argentina,Liga Profesional,2025,27/01/2025,00:00,Central Cordoba,Aldosivi,1,0,H,1.86,3.27,5.03,1.92,3.3,5.32,1.86,3.17,4.82,1.91,3.35,5.5,,,
Argentina,Liga Profesional,2025,27/01/2025,23:00,Banfield,Newells Old Boys,3,0,H,2.46,2.85,3.57,2.51,2.88,3.6,2.42,2.79,3.44,2.52,2.92,3.75,,,
Argentina,Liga Profesional,2025,28/01/2025,20:00,Dep. Riestra,San Martin S.J.,0,0,D,2.15,2.89,4.36,2.41,2.96,4.36,2.16,2.81,4.15,2.22,2.94,4.7,,,
Argentina,Liga Profesional,2025,28/01/2025,22:15,Rosario Central,Lanus,2,1,H,2.25,2.98,3.88,2.45,2.98,4.05,2.27,2.87,3.68,2.32,3,4.1,,,
Argentina,Liga Profesional,2025,28/01/2025,22:15,Sarmiento Junin,Godoy Cruz,0,0,D,2.41,3.01,3.43,2.41,3.06,3.53,2.34,2.94,3.41,2.48,3.05,3.65,,,
Argentina,Liga Profesional,2025,29/01/2025,00:30,Ind. Rivadavia,Barracas Central,0,0,D,1.87,3.04,5.61,1.92,3.29,5.61,1.85,3.09,5.17,1.89,3.3,5.8,,,
Argentina,Liga Profesional,2025,29/01/2025,00:30,Velez Sarsfield,Platense,0,1,A,1.9,3.04,5.39,1.95,3.25,5.59,1.87,3.02,5.18,1.91,3.15,6,,,
Argentina,Liga Profesional,2025,29/01/2025,20:00,Gimnasia L.P.,San Lorenzo,0,2,A,2.54,2.7,3.64,2.54,2.85,3.66,2.48,2.71,3.46,2.6,2.8,3.7,,,
Argentina,Liga Profesional,2025,29/01/2025,20:00,Talleres Cordoba,Independiente,2,3,A,2.23,2.86,4.14,2.31,2.93,4.14,2.22,2.85,3.84,2.26,2.98,4.3,,,
