Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Ireland,Premier Division,2025,14/02/2025,19:45,Cork City,Galway,2,2,D,3.95,3.16,2.13,3.95,3.25,2.13,3.67,3.09,2.08,4.3,3.25,2.16,,,
Ireland,Premier Division,2025,14/02/2025,19:45,Shelbourne,Derry City,3,1,H,2.94,2.91,2.82,3,2.97,2.82,2.86,2.83,2.67,3.15,2.94,2.84,,,
Ireland,Premier Division,2025,14/02/2025,19:45,St. Patricks,Drogheda,0,0,D,1.54,4.09,6.58,1.54,4.58,7.5,1.48,4.12,6.28,1.55,4.4,7.6,,,
Ireland,Premier Division,2025,15/02/2025,19:45,Sligo Rovers,Waterford,2,3,A,2.53,3.31,2.93,2.53,3.35,3,2.42,3.22,2.85,2.66,3.4,2.98,,,
Ireland,Premier Division,2025,16/02/2025,14:00,Bohemians,Shamrock Rovers,1,0,H,3.36,3.44,2.22,3.41,3.44,2.32,3.16,3.25,2.21,3.35,3.65,2.28,,,
Ireland,Premier Division,2025,21/02/2025,19:45,Derry City,Bohemians,1,0,H,2.03,3.31,4.09,2.09,3.45,4.2,1.96,3.29,3.83,2.06,3.4,4.4,,,
Ireland,Premier Division,2025,21/02/2025,19:45,Drogheda,Sligo Rovers,3,0,H,2.41,3.12,3.31,2.49,3.2,3.32,2.34,3.06,3.1,2.42,3.35,3.4,,,
Ireland,Premier Division,2025,21/02/2025,19:45,Galway,St. Patricks,2,1,H,2.75,3.1,2.84,2.95,3.34,2.84,2.66,3.05,2.69,2.86,3.15,2.94,,,
Ireland,Premier Division,2025,21/02/2025,19:45,Waterford,Shelbourne,0,1,A,3.93,3.24,2.1,4.2,3.25,2.13,3.8,3.08,2.05,4,3.25,2.18,,,
Ireland,Premier Division,2025,28/02/2025,19:45,Cork City,Bohemians,2,1,H,2.98,3.36,2.47,2.98,3.5,2.58,2.86,3.19,2.44,3.05,3.35,2.56,,,
Ireland,Premier Division,2025,28/02/2025,19:45,Derry City,Waterford,1,2,A,1.48,4.21,7.68,1.5,4.21,7.68,1.46,4.05,6.96,1.5,4.4,8.4,,,
Ireland,Premier Division,2025,28/02/2025,19:45,Drogheda,Galway,1,1,D,3.63,3.07,2.28,3.75,3.07,2.45,3.44,2.92,2.28,3.8,3.2,2.32,,,
Ireland,Premier Division,2025,28/02/2025,19:45,Shelbourne,Shamrock Rovers,1,1,D,2.95,2.89,2.83,2.95,3,2.87,2.83,2.82,2.72,3.15,2.9,2.88,,,
Ireland,Premier Division,2025,28/02/2025,19:45,St. Patricks,Sligo Rovers,4,3,H,1.41,4.83,7.69,1.44,5.05,7.69,1.41,4.57,6.87,1.44,5.1,8.6,,,
Ireland,Premier Division,2025,03/03/2025,19:45,Bohemians,Drogheda,0,1,A,1.79,3.41,5.28,1.81,3.58,5.28,1.77,3.33,4.8,1.83,3.6,5.6,,,
Ireland,Premier Division,2025,03/03/2025,19:45,Galway,Shelbourne,1,1,D,2.31,2.97,3.71,2.45,2.97,3.71,2.31,2.83,3.48,2.46,2.96,3.8,,,
Ireland,Premier Division,2025,03/03/2025,19:45,Sligo Rovers,Shamrock Rovers,2,1,H,4.52,3.88,1.78,4.6,4.2,1.78,4.34,3.75,1.74,5,3.95,1.8,,,
Ireland,Premier Division,2025,03/03/2025,19:45,St. Patricks,Derry City,2,0,H,2.23,3.34,3.42,2.27,3.5,3.42,2.18,3.24,3.27,2.34,3.4,3.5,,,
