Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Sweden,Allsvenskan,2025,29/03/2025,14:00,Djurgarden,Malmo FF,0,1,A,2.8,3.29,2.69,2.9,3.4,2.7,2.73,3.26,2.61,2.92,3.3,2.76,,,
Sweden,Allsvenskan,2025,29/03/2025,16:30,Hacken,Brommapojkarna,2,0,H,1.64,4.31,5.15,1.64,4.35,5.7,1.6,4.23,5.1,1.64,4.3,5.7,,,
Sweden,Allsvenskan,2025,30/03/2025,13:00,Elfsborg,Mjallby,2,2,D,2.26,3.26,3.51,2.31,3.35,3.6,2.21,3.21,3.37,2.32,3.25,3.75,,,
Sweden,Allsvenskan,2025,30/03/2025,13:00,Hammarby,Goteborg,4,0,H,1.94,3.55,4.2,2.03,3.6,4.2,1.94,3.5,3.89,1.97,3.7,4.3,,,
Sweden,Allsvenskan,2025,30/03/2025,15:30,Halmstad,Degerfors,0,5,A,2.33,3.11,3.54,2.38,3.15,3.6,2.29,3.06,3.39,2.42,3.2,3.55,,,
Sweden,Allsvenskan,2025,30/03/2025,15:30,Norrkoping,Oster,4,3,H,1.97,3.72,3.86,2.06,3.75,3.9,1.98,3.58,3.68,2.06,3.75,3.9,,,
Sweden,Allsvenskan,2025,31/03/2025,18:00,Varnamo,Sirius,1,2,A,2.27,3.45,3.3,2.28,3.51,3.4,2.21,3.41,3.22,2.36,3.55,3.3,,,
Sweden,Allsvenskan,2025,31/03/2025,18:10,GAIS,AIK,0,1,A,2.81,2.91,3,2.81,3.1,3.1,2.66,2.98,2.89,2.84,3,3.05,,,
Sweden,Allsvenskan,2025,05/04/2025,14:00,Goteborg,Halmstad,1,0,H,1.48,4.41,7.29,1.5,4.5,8.2,1.46,4.28,7.28,1.48,4.7,8.4,,,
Sweden,Allsvenskan,2025,05/04/2025,14:00,Sirius,Djurgarden,0,1,A,3.32,3.46,2.26,3.6,3.55,2.26,3.3,3.45,2.17,3.5,3.65,2.24,,,
Sweden,Allsvenskan,2025,05/04/2025,16:30,Oster,Hacken,2,0,H,3.69,3.72,2.02,3.8,3.8,2.04,3.59,3.67,1.98,3.9,3.8,2.04,,,
Sweden,Allsvenskan,2025,06/04/2025,13:00,AIK,Norrkoping,4,3,H,1.81,3.54,4.99,1.84,3.75,5,1.77,3.52,4.82,1.84,3.65,5.3,,,
Sweden,Allsvenskan,2025,06/04/2025,13:00,Brommapojkarna,Hammarby,0,2,A,3.82,3.46,2.07,4.1,3.6,2.11,3.66,3.45,2.02,4,3.55,2.1,,,
Sweden,Allsvenskan,2025,06/04/2025,15:30,Degerfors,Varnamo,1,0,H,2.27,3.24,3.52,2.3,3.3,3.55,2.23,3.19,3.38,2.3,3.2,3.75,,,
Sweden,Allsvenskan,2025,06/04/2025,15:30,Mjallby,GAIS,1,1,D,2.03,3.33,4.14,2.06,3.4,4.25,2,3.32,3.94,2.08,3.5,4.2,,,
Sweden,Allsvenskan,2025,07/04/2025,18:10,Malmo FF,Elfsborg,2,1,H,1.78,3.85,4.7,1.78,3.95,4.9,1.74,3.75,4.57,1.81,3.85,5.2,,,
Sweden,Allsvenskan,2025,12/04/2025,14:00,Hacken,Mjallby,0,3,A,2.4,3.58,2.96,2.4,3.6,3.2,2.31,3.47,2.96,2.38,3.65,3.15,,,
Sweden,Allsvenskan,2025,12/04/2025,16:30,Elfsborg,Norrkoping,2,0,H,1.68,4.14,5.02,1.69,4.3,5.02,1.66,4.01,4.8,1.72,4.2,5.3,,,
Sweden,Allsvenskan,2025,13/04/2025,13:00,Hammarby,Djurgarden,2,0,H,2.33,3.3,3.33,2.36,3.4,3.6,2.25,3.25,3.26,2.34,3.35,3.5,,,
Sweden,Allsvenskan,2025,13/04/2025,13:00,Varnamo,Goteborg,0,1,A,2.75,3.45,2.63,2.88,3.45,2.63,2.76,3.33,2.52,2.94,3.45,2.68,,,
Sweden,Allsvenskan,2025,13/04/2025,15:30,GAIS,Degerfors,2,0,H,1.83,3.62,4.66,1.85,3.75,4.66,1.82,3.56,4.39,1.9,3.6,4.9,,,
Sweden,Allsvenskan,2025,13/04/2025,15:30,Sirius,Brommapojkarna,0,3,A,2.25,3.59,3.22,2.28,3.59,3.22,2.22,3.47,3.12,2.34,3.65,3.3,,,
Sweden,Allsvenskan,2025,14/04/2025,18:00,Halmstad,Oster,1,0,H,3.09,3.24,2.49,3.1,3.3,2.51,2.97,3.18,2.44,3.1,3.25,2.6,,,
Sweden,Allsvenskan,2025,14/04/2025,18:10,AIK,Malmo FF,0,0,D,4.3,3.36,1.98,4.42,3.45,2.05,4.16,3.29,1.95,4.5,3.45,2.02,,,
Sweden,Allsvenskan,2025,18/04/2025,14:00,Malmo FF,Sirius,1,1,D,1.41,4.83,8.13,1.42,5.4,9,1.39,4.77,7.66,1.42,5.2,9,,,
Sweden,Allsvenskan,2025,18/04/2025,14:00,Mjallby,Hammarby,3,1,H,2.65,3.25,2.88,2.89,3.35,2.88,2.62,3.22,2.71,2.76,3.3,2.88,,,
Sweden,Allsvenskan,2025,19/04/2025,14:00,Degerfors,Elfsborg,0,1,A,3.94,3.5,2.02,4.3,3.55,2.06,3.81,3.46,1.97,4.1,3.65,2.04,,,
Sweden,Allsvenskan,2025,19/04/2025,14:00,Norrkoping,Halmstad,3,0,H,1.67,3.94,5.44,1.7,4.1,5.51,1.64,3.85,5.23,1.71,4.1,5.6,,,
Sweden,Allsvenskan,2025,20/04/2025,13:00,Brommapojkarna,Varnamo,3,2,H,1.92,3.68,4.12,2.01,3.75,4.3,1.91,3.56,3.91,2.02,3.65,4,,,
Sweden,Allsvenskan,2025,20/04/2025,13:00,Oster,AIK,0,1,A,3.89,3.45,2.05,3.95,3.6,2.1,3.66,3.39,2.03,3.95,3.4,2.14,,,
